"day_of_week","hour_of_day","total_count","avg_score","avg_log_10_score"
"Sun","01","26463","21.5740467822998148","0.6041434001654887"
"Sun","02","27952","20.2202346880366342","0.5827862108918335"
"Sun","03","30182","20.1616526406467431","0.5846685932193397"
"Sun","04","30362","20.4529016533825176","0.5779647930154853"
"Sun","05","30936","20.2280837858805275","0.5774294052500555"
"Sun","06","30455","20.2350352979806272","0.5817651788706343"
"Sun","07","29985","20.5352342838085710","0.5835518666223952"
"Sun","08","29489","20.1531418495032046","0.5795431375723005"
"Sun","09","29296","20.3716889677771709","0.5762920389426793"
"Sun","10","28794","20.1176981315551851","0.5828135424749007"
"Sun","11","27498","20.4321768855916794","0.5921741420213263"
"Sun","12","26392","21.5382312822067293","0.6150272657014421"
"Mon","01","42857","18.0451968173227244","0.5147260075472625"
"Mon","02","50656","17.5538337018319646","0.49739724576233524"
"Mon","03","54574","16.8591453805841610","0.4885050388083185"
"Mon","04","56032","16.7945281267846945","0.48250804597311686"
"Mon","05","55351","17.0058535527813409","0.49395573871183046"
"Mon","06","53051","16.7087331058792483","0.495422331155589"
"Mon","07","51993","16.1980266574346547","0.48942667867708695"
"Mon","08","49688","16.8312469811624537","0.49665945888195573"
"Mon","09","49274","16.4624548443398141","0.4966079482206867"
"Mon","10","45943","16.2318742789978887","0.49716609453279825"
"Mon","11","42835","16.7110540445897047","0.5041007275347399"
"Mon","12","38207","18.7606197817153925","0.5296200130215643"
"Tue","01","50228","16.6933582862148602","0.49306754836941774"
"Tue","02","57242","16.5358478040599560","0.47822409592153786"
"Tue","03","60924","16.6608069069660561","0.4769826889534445"
"Tue","04","62565","16.4778230640134260","0.47338609600326226"
"Tue","05","61421","16.4429592484655085","0.4855997049024264"
"Tue","06","58619","16.5520565004520719","0.48626007866573584"
"Tue","07","55836","15.2801597535640089","0.476563862402268"
"Tue","08","53695","15.0825961448924481","0.4787221833854131"
"Tue","09","52425","15.7803719599427754","0.4832386181481154"
"Tue","10","48924","15.1896615158204562","0.480731291987072"
"Tue","11","46085","16.0466529239448845","0.48604177353456063"
"Tue","12","45944","17.4902925300365663","0.5085215695310414"
"Wed","01","50009","16.8439280929432702","0.49211069076792996"
"Wed","02","56541","16.5855750694186520","0.47654041474850145"
"Wed","03","60213","15.7770747180841347","0.47271354137228677"
"Wed","04","60706","16.2534181135307877","0.4728686123231185"
"Wed","05","60235","16.2074209346725326","0.47886717490645286"
"Wed","06","58582","16.1400430166262675","0.48470091421895534"
"Wed","07","54936","15.8294014853647881","0.4838698534871549"
"Wed","08","53317","15.0890897837462723","0.4729067619762486"
"Wed","09","52688","15.1497494685696933","0.47795938877287886"
"Wed","10","48778","15.3458731395301160","0.4797219357114527"
"Wed","11","45728","16.2636459062281316","0.4928346333809877"
"Wed","12","45557","16.8062646794126040","0.5023208719939761"
"Thu","01","49372","17.3849145264522401","0.49416509391149116"
"Thu","02","55912","16.5999785377021033","0.4821694210137102"
"Thu","03","59829","15.7546674689531832","0.46875756157995896"
"Thu","04","60624","15.9939133016627078","0.4720663084223879"
"Thu","05","59101","16.2802998257220690","0.48314322493452333"
"Thu","06","56989","16.3391531699099826","0.4864695462638056"
"Thu","07","54817","15.1461955232865717","0.47851406341325375"
"Thu","08","52429","15.3176295561616663","0.4784610381623046"
"Thu","09","51715","15.4605433626607367","0.4792888685412671"
"Thu","10","48187","15.7234523834229149","0.48057668177705454"
"Thu","11","45319","16.6776407246408791","0.4979878078995361"
"Thu","12","45976","16.9592613537497825","0.5014567759469565"
"Fri","01","46654","17.2450808076477901","0.501953116728244"
"Fri","02","51367","16.5517160823096541","0.4873318894562154"
"Fri","03","53709","16.1202405555865870","0.48126492223503925"
"Fri","04","54438","15.8727910650648444","0.4733991043200021"
"Fri","05","52805","16.5311239465959663","0.4910195002848111"
"Fri","06","50970","16.2180302138512851","0.4936404016114281"
"Fri","07","48391","16.0040296749395549","0.4954260255398052"
"Fri","08","47170","15.8591689633241467","0.4902581477436876"
"Fri","09","45473","15.3657115211224243","0.4960848986698963"
"Fri","10","42514","16.4257891518088159","0.5142162554685499"
"Fri","11","40074","16.5814992264311025","0.5141339288417156"
"Fri","12","43631","17.2904586188719030","0.5056201256661517"
"Sat","01","30011","19.3014228116357336","0.5679059328058922"
"Sat","02","30204","19.0001986491855383","0.5642932788449887"
"Sat","03","31382","18.4911414186476324","0.5482512570924503"
"Sat","04","32123","18.6436198362543972","0.5562640480553517"
"Sat","05","31787","18.6390662849592601","0.5582653771213957"
"Sat","06","30863","18.7232932637786346","0.560465619254283"
"Sat","07","29793","19.2448561742691236","0.5674036581950688"
"Sat","08","28871","18.6148384191749506","0.5698570234561098"
"Sat","09","27919","18.8931193810666571","0.5738631287752044"
"Sat","10","26930","18.6206461195692536","0.5808127498541056"
"Sat","11","26983","19.0985435274061446","0.5829746805877527"
"Sat","12","30361","18.4339778004677053","0.5635854676610444"
